Date,Media Pump,Effluent Pump,Acid Pump,Water Pump,Gas Pump,Base Pump,N2 Mass Flow Controller,N2 MFC Set Point,DO mg/L,pH,Ammonium,DO Amp (A),pH Amp (A),NH4 Amp (A),Reactor Status,N2 Valve,Clock,Air Mass Flow Controller,Air MFC Set Point
2016-03-10 12:51:26,0,0,0,0,1,0,435.8700218743775,437.9090509200073,0.09835813338459154,7.323371542375014,-0.04702843068756124,0.004068578545124002,0.01236956747700002,0.003989967268119987,0,0,03/10/1612:49 PM,-125,-37.923209795310825
2016-03-10 12:52:01,0,0,0,0,1,0,447.8709416618777,449.33569444500483,0.09805981148473997,7.342993240625013,-0.1197121224375408,0.004068459210636006,0.01239199227500002,0.0039744614138799905,0,0,03/10/1612:50 PM,-125,-49.34639006437305
2016-03-10 12:52:33,0,0,0,0,1,0,494.24905657875337,518.645740449378,0.1033099490960314,7.304039537375022,-0.1045543136250338,0.004070559366488004,0.012347473757000021,0.003977695079759993,0,0,03/10/1612:50 PM,-125,-121.7279473178105
2016-03-10 12:53:07,0,0,1,0,1,0,425.22962978687934,426.7468502962553,0.0924343128016396,7.334055773625018,-0.1314571183125643,0.004066208903148007,0.01238177802700002,0.003971955814759986,0,0,03/10/1612:51 PM,-125,-26.75825425406053
2016-03-10 12:53:40,0,0,0,0,1,0,394.0049043756295,395.2015223681267,0.08723334912988713,7.31916095137502,-0.1341781448438191,0.004064128417816009,0.01236475537300002,0.003971375329099985,0,0,03/10/1612:51 PM,-125,4.791206469689371
2016-03-10 12:54:12,0,0,0,0,1,0,221.41520397187958,224.0108132625008,0.06945696998704243,7.3239566653750225,-0.1435864399688391,0.0040570175248360076,0.012370236189000029,0.003969368226139981,0,0,03/10/1612:52 PM,-125,175.980248303126
2016-03-10 12:54:45,0,0,1,0,1,0,38.459880704379714,37.91933454375175,0.05854855106627355,7.347639805625019,-0.153455926031338,0.004052653947816004,0.01239730263500002,0.003967262735779981,0,0,03/10/1612:53 PM,-125,362.069983114066
2016-03-10 12:55:18,0,0,0,0,1,0,20.30298287187978,22.15239984375199,0.0630856665542634,7.3076363228750125,-0.1672916541563367,0.004054468881127999,0.01235158436900002,0.003964311113779982,0,0,03/10/1612:53 PM,-125,377.83783678500396
2016-03-10 12:55:50,0,0,0,0,1,0,-0.2909806931202326,-0.007397156248757142,0.04831709337981849,7.299929335125011,-0.1483367066250594,0.004048561168288005,0.01234277638300001,0.003968354835919986,0,0,03/10/1612:54 PM,-125,400.3656769718807
2016-03-10 12:56:23,0,0,0,0,1,0,-0.284731281245115,-0.007397156248757142,0.034028785681510236,7.323973874875016,-0.1304271252188265,0.004042845570860005,0.01237025585700002,0.0039721755466199824,0,0,03/10/1612:54 PM,-125,400.398166845006
2016-03-10 12:56:56,0,0,0,0,1,0,359.41830272375466,362.4545435775012,0.09559783624522213,7.324054185875019,-0.1261534225312886,0.004067474373268007,0.01237034764100002,0.003973087269859992,0,0,03/10/1612:55 PM,-125,37.536912430007156
2016-03-10 12:57:29,0,0,0,0,1,0,499.23147703312964,524.3149219687522,0.1811555736467003,7.329919757125027,-0.1073983244062653,0.0041016991110160075,0.01237705115100003,0.003977088357459997,0,0,03/10/1612:55 PM,-125,-127.982447218743
2016-03-10 12:58:01,0,0,1,0,1,0,499.22225658938,524.3149219687522,0.2656609887420522,7.343489447875028,-0.1326562147500283,0.004135502899636003,0.01239255936900003,0.003971700007519994,0,0,03/10/1612:56 PM,-125,-127.982447218743
2016-03-10 12:58:34,0,0,0,0,1,0,499.17553967438033,524.3149219687522,0.3290920924829237,7.282983714125029,-0.1302119027812445,0.0041608765590680045,0.01232340995900003,0.003972221460740001,0,0,03/10/1612:56 PM,-125,-127.982447218743
2016-03-10 12:59:07,0,0,0,0,1,0,484.19160143500534,508.58525239500227,0.3437606786469676,7.303113092625017,-0.1043852102812259,0.004166744275183995,0.01234641496300002,0.003977731155140005,0,0,03/10/1612:57 PM,-125,-112.1430360971805
2016-03-10 12:59:40,0,0,0,0,1,0,494.2103307150061,519.0716987775022,0.3306427107096539,7.306580806875024,-0.1172985565312281,0.004161496836131996,0.01235037806500003,0.003974976307940005,0,0,03/10/1612:57 PM,-125,-122.7026435115555
2016-03-10 13:00:12,0,0,0,0,1,0,499.16959761063066,524.3149219687522,0.2958898485071089,7.322565564125018,-0.1060147515937224,0.0041475950239639936,0.01236864635900002,0.003977383519660006,0,0,03/10/1612:58 PM,-125,-127.982447218743
2016-03-10 13:00:45,0,0,0,0,1,0,494.1563398943807,519.0716987775022,0.2740058062815702,7.355472996375035,-0.1352696300624601,0.0041388409868799965,0.01240625485300004,0.003971142478920008,0,0,03/10/1612:59 PM,-125,-122.7026435115555
2016-03-10 13:02:23,0,0,0,0,1,0,-0.2857557750000268,-0.007397156250164016,0.011693643212900891,7.266410965624999,-0.1430176378125054,0.004033911085017241,0.012304469675,0.003969489570599999,0,0,03/10/1601:00 PM,-125,224.8615614062495
2016-03-10 13:02:58,0,0,0,0,1,0,10.17114948187486,10.889164893749893,0.08904885381591221,7.306207934375008,-0.1493052075937662,0.004064854654549783,0.012349951925000009,0.003968148222379997,0,0,03/10/1601:01 PM,-125,389.0988666749965
2016-03-10 13:03:31,0,0,0,0,1,0,109.44787223687479,117.941011918125,0.1671885356866678,7.288926728125016,-0.1170679610625172,0.004096112027651993,0.01233020197500002,0.003975025501639996,0,0,03/10/1601:01 PM,-125,281.53566027436835
